ID;AREA;CAMPO_DE_FORMACION;NIVEL;ALCALDIA;INSCRITOS;EGRESADOS;GRADUADOS;Campo_For_Abrev;
"6225;Área 1;Ingeniería, manufactura y construcción;Maestría;CUH;77;25;10;Ingeniería, manufactura y construcción CUH;"
6226;Área 2;Salud;Maestría;CUH;37;8;4;Salud CUH;
6231;Área 4;Artes y humanidades;Doctorado;CUH;10;1;3;Artes y humanidades CUH;
6232;Área 3;Ciencias sociales y derecho;Doctorado;CUH;464;145;37;Ciencias sociales y derecho CUH;
6233;Área 4;Educación;Doctorado;CUH;129;66;17;Educación CUH;
"7211;Área 1;Ciencias naturales, matemáticas y estadística;Especialidad;GAM;58;22;0;Ciencias naturales, matemáticas y estadística GAM;"
7212;Área 3;Ciencias sociales y derecho;Especialidad;GAM;273;107;76;Ciencias sociales y derecho GAM;
"7213;Área 1;Ingeniería, manufactura y construcción;Especialidad;GAM;5;0;0;Ingeniería, manufactura y construcción GAM;"
7214;Área 2;Salud;Especialidad;GAM;174;98;32;Salud GAM;
7221;Área 4;Artes y humanidades;Maestría;GAM;13;5;0;Artes y humanidades GAM;
"7222;Área 1;Ciencias naturales, matemáticas y estadística;Maestría;GAM;806;63;268;Ciencias naturales, matemáticas y estadística GAM;"
7223;Área 3;Ciencias sociales y derecho;Maestría;GAM;279;154;46;Ciencias sociales y derecho GAM;
7224;Área 4;Educación;Maestría;GAM;6;15;27;Educación GAM;
"7225;Área 1;Ingeniería, manufactura y construcción;Maestría;GAM;1053;253;387;Ingeniería, manufactura y construcción GAM;"
7226;Área 2;Salud;Maestría;GAM;60;32;19;Salud GAM;
"7231;Área 1;Ciencias naturales, matemáticas y estadística;Doctorado;GAM;828;22;157;Ciencias naturales, matemáticas y estadística GAM;"
7232;Área 3;Ciencias sociales y derecho;Doctorado;GAM;63;12;25;Ciencias sociales y derecho GAM;
"7233;Área 1;Ingeniería, manufactura y construcción;Doctorado;GAM;517;34;93;Ingeniería, manufactura y construcción GAM;"
7234;Área 2;Salud;Doctorado;GAM;8;0;0;Salud GAM;
8211;Área 3;Ciencias sociales y derecho;Especialidad;IZC;10;1;2;Ciencias sociales y derecho IZC;
8212;Área 4;Educación;Especialidad;IZC;3;1;0;Educación IZC;
"8221;Área 1;Ciencias naturales, matemáticas y estadística;Maestría;IZC;48;10;18;Ciencias naturales, matemáticas y estadística IZC;"
8222;Área 3;Ciencias sociales y derecho;Maestría;IZC;167;52;66;Ciencias sociales y derecho IZC;
"8223;Área 1;Ingeniería, manufactura y construcción;Maestría;IZC;116;48;66;Ingeniería, manufactura y construcción IZC;"
8224;Área 3;Servicios;Maestría;IZC;100;29;26;Servicios IZC;
"8231;Área 1;Ingeniería, manufactura y construcción;Doctorado;IZC;17;3;0;Ingeniería, manufactura y construcción IZC;"
"9211;Área 1;Ciencias naturales, matemáticas y estadística;Especialidad;IZP;3;0;0;Ciencias naturales, matemáticas y estadística IZP;"
9212;Área 3;Ciencias sociales y derecho;Especialidad;IZP;316;112;7;Ciencias sociales y derecho IZP;
9213;Área 4;Educación;Especialidad;IZP;42;32;0;Educación IZP;
"9214;Área 1;Ingeniería, manufactura y construcción;Especialidad;IZP;30;13;6;Ingeniería, manufactura y construcción IZP;"
9215;Área 2;Salud;Especialidad;IZP;141;7;29;Salud IZP;
9221;Área 2;Agronomía y veterinaria;Maestría;IZP;47;6;8;Agronomía y veterinaria IZP;
9222;Área 4;Artes y humanidades;Maestría;IZP;158;27;31;Artes y humanidades IZP;
"9223;Área 1;Ciencias naturales, matemáticas y estadística;Maestría;IZP;282;57;54;Ciencias naturales, matemáticas y estadística IZP;"
9224;Área 3;Ciencias sociales y derecho;Maestría;IZP;945;203;137;Ciencias sociales y derecho IZP;
9225;Área 4;Educación;Maestría;IZP;108;33;11;Educación IZP;
"9226;Área 1;Ingeniería, manufactura y construcción;Maestría;IZP;188;46;43;Ingeniería, manufactura y construcción IZP;"
9227;Área 2;Salud;Maestría;IZP;32;8;8;Salud IZP;
9231;Área 4;Artes y humanidades;Doctorado;IZP;136;17;10;Artes y humanidades IZP;
"9232;Área 1;Ciencias naturales, matemáticas y estadística;Doctorado;IZP;344;44;31;Ciencias naturales, matemáticas y estadística IZP;"
9233;Área 3;Ciencias sociales y derecho;Doctorado;IZP;298;24;23;Ciencias sociales y derecho IZP;
"9234;Área 1;Ingeniería, manufactura y construcción;Doctorado;IZP;194;17;23;Ingeniería, manufactura y construcción IZP;"
9235;Área 2;Salud;Doctorado;IZP;29;3;3;Salud IZP;
"10221;Área 1;Ciencias naturales, matemáticas y estadística;Maestría;MAC;65;15;6;Ciencias naturales, matemáticas y estadística MAC;"
10222;Área 3;Ciencias sociales y derecho;Maestría;MAC;709;310;228;Ciencias sociales y derecho MAC;
10223;Área 4;Educación;Maestría;MAC;188;70;24;Educación MAC;
"10224;Área 1;Ingeniería, manufactura y construcción;Maestría;MAC;52;35;18;Ingeniería, manufactura y construcción MAC;"
10231;Área 3;Ciencias sociales y derecho;Doctorado;MAC;1;0;0;Ciencias sociales y derecho MAC;
11211;Área 4;Artes y humanidades;Especialidad;MIH;6;5;5;Artes y humanidades MIH;
"11212;Área 1;Ciencias naturales, matemáticas y estadística;Especialidad;MIH;6;0;0;Ciencias naturales, matemáticas y estadística MIH;"
11213;Área 3;Ciencias sociales y derecho;Especialidad;MIH;98;75;46;Ciencias sociales y derecho MIH;
11214;Área 4;Educación;Especialidad;MIH;76;45;0;Educación MIH;
"11215;Área 1;Ingeniería, manufactura y construcción;Especialidad;MIH;73;58;19;Ingeniería, manufactura y construcción MIH;"
11216;Área 2;Salud;Especialidad;MIH;1460;612;376;Salud MIH;
11221;Área 4;Artes y humanidades;Maestría;MIH;22;9;5;Artes y humanidades MIH;
"11222;Área 1;Ciencias naturales, matemáticas y estadística;Maestría;MIH;337;83;119;Ciencias naturales, matemáticas y estadística MIH;"
11223;Área 3;Ciencias sociales y derecho;Maestría;MIH;1682;762;481;Ciencias sociales y derecho MIH;
11224;Área 4;Educación;Maestría;MIH;229;102;84;Educación MIH;
"11225;Área 1;Ingeniería, manufactura y construcción;Maestría;MIH;232;105;39;Ingeniería, manufactura y construcción MIH;"
11226;Área 2;Salud;Maestría;MIH;343;115;110;Salud MIH;
11231;Área 3;Artes y humanidades;Doctorado;MIH;6;2;2;Artes y humanidades MIH;
"11232;Área 1;Ciencias naturales, matemáticas y estadística;Doctorado;MIH;153;29;29;Ciencias naturales, matemáticas y estadística MIH;"
11233;Área 3;Ciencias sociales y derecho;Doctorado;MIH;158;60;68;Ciencias sociales y derecho MIH;
11234;Área 4;Educación;Doctorado;MIH;14;3;3;Educación MIH;
"11235;Área 1;Ingeniería, manufactura y construcción;Doctorado;MIH;188;38;31;Ingeniería, manufactura y construcción MIH;"
11236;Área 2;Salud;Doctorado;MIH;110;22;27;Salud MIH;
12211;Área 2;Salud;Especialidad;MIL;2;6;0;Salud MIL;
13221;Área 3;Ciencias sociales y derecho;Maestría;TLH;102;25;9;Ciencias sociales y derecho TLH;
13222;Área 4;Educación;Maestría;TLH;45;13;0;Educación TLH;
